"Funding OrgName","Project Reference","ProjectCategory","Outcome Type","LeadRO Name","Department","PI Surname","PI First Name","PI Orcid iD","Company Name","Description","Year Established","Impact","Url","GTR Outcome URL","GTRProjectUrl","ProjectId","FundingOrgId","LeadROId","PIId"
"MRC","MC_PC_13072","Intramural","Spin Outs","University of Nottingham",,"Masterman","Richard","","Exonate Limited","Exonate's strategy is to exploit its unique ability to alter mRNA splicing to create medicines developed through in-house product development and strategic partnerships. Exonate now has a lead candidate under development for the treatment of wet age-related macular degeneration (wAMD). It has the capacity to be administered as an eye drop rather than the currently available drugs which are given as intravitreal injections. As SPHINXes are small molecules, they will be inexpensive to manufacture and administer than alternative biologic therapeutics.","2014","Exonate has closed its second round of funding with &pound;792k of investment.","http://exonate.com/","http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=spinout&outcomeId=56cafe964a8521.07847649&grantRef=MC_PC_13072","http://gtr.rcuk.ac.uk:80/projects?ref=MC_PC_13072","3EC80925-C42D-4739-997E-0182B5387221","C008C651-F5B0-4859-A334-5F574AB6B57C","936D002F-A8D1-4A93-AE5D-825ED0903D8D","9F5AA990-DB5B-4D48-A28A-839EF6E891AD"
"MRC","MC_G0900866","Intramural","Spin Outs","University of Nottingham",,"Huxtable","Susan","","Platelet Solutions Limited","Platelet Solutions Ltd aims to use novel technology to measure platelet function simply and accurately in any clinical setting. A particular aim is to use the technology to optimize treatment of patients at-risk of heart attack or stroke with the effects of improving health care and reducing health costs. The technology will also be of diagnostic and therapeutic value in other diseases and in drug development programs.","2011","The company has only been trading since 2011. Since January 2013 they have added two 0.5FTE posts and 1FTE","http://www.plateletsolutions.co.uk/","http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=spinout&outcomeId=TRZoZJdrUqa&grantRef=MC_G0900866","http://gtr.rcuk.ac.uk:80/projects?ref=MC_G0900866","64F35B2A-F9FD-467B-9159-01BFC331BD47","C008C651-F5B0-4859-A334-5F574AB6B57C","936D002F-A8D1-4A93-AE5D-825ED0903D8D","9BD7D307-E32D-4790-8E26-C85C183950DA"
"MRC","G0300353","Research Grant","Spin Outs","Durham University","Biological and Biomedical Sciences","Jahoda","Colin","","Clarinnis Biosciences Ltd","A company aiming to develop several applied and translational projects relating to skin biology and stem cells;","2008","None so far, although preliminary funding (circa &pound;250K) was been obtained and two individuals have been employed in research for the company. It is likely that the company will be reborn in future as a result of a switch in focus/emphasis.","http://www.dur.ac.uk/research.commercialisation/spinouts/","http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=spinout&outcomeId=08BC6B527C4&grantRef=G0300353","http://gtr.rcuk.ac.uk:80/projects?ref=G0300353","66408E69-F35A-4C45-946D-026C5FB7F95D","C008C651-F5B0-4859-A334-5F574AB6B57C","46B41008-0EB4-4E28-BBFB-E98366999EC5","81622038-FA7D-4C3C-BF3D-A7EBF9C3A3C8"
"MRC","G0901135","Research Grant","Spin Outs","University of Glasgow","Faculty of Biomedical and Life Sciences","Haydon","Daniel","","Wise Monkey Foundation","http://www.wisemonkeyfoundation.org/about.html","2012","Adopted by local governments, NGOs and researchers in Indonesia, the Philippines, India and Tanzania for improved management and security of rabies related data","http://www.wisemonkeyfoundation.org/about.html","http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=spinout&outcomeId=Zbh6qim8orm&grantRef=G0901135","http://gtr.rcuk.ac.uk:80/projects?ref=G0901135","74D2717B-FFCF-4076-8091-042286D84040","C008C651-F5B0-4859-A334-5F574AB6B57C","AE58F21F-3622-4382-97BB-1359BD183E9F","84244E8E-417D-4273-9C72-5E13832D5D17"
"EPSRC","EP/E01707X/1","Research Grant","Spin Outs","Queen's University of Belfast","Electronics Electrical Eng and Comp Sci","Fusco","Vincent","","Lamhroe Ltd","New spin out company currently employing four people whose activities include design of GaAs mm-wave MMIC chips for leading EU foundry, microwave based security products","2009","Spin out company using IP generated from patent filing on retrodirective antennas resulting from this platform grant, also employing highly trained PhD graduates trained within the platform grant operating duration.",,"http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=spinout&outcomeId=m-3262197555.2869935132eb0c6&grantRef=EP%2FE01707X%2F1","http://gtr.rcuk.ac.uk:80/projects?ref=EP/E01707X/1","BB9862A6-2712-471D-82EE-0251A48899CF","798CB33D-C79E-4578-83F2-72606407192C","EC23DA53-CA73-4104-A3F6-2A9523484E69","93C58F4A-852D-4932-8ED6-25B87D43C4EE"
"EPSRC","EP/E01707X/1","Research Grant","Spin Outs","Queen's University of Belfast","Electronics Electrical Eng and Comp Sci","Fusco","Vincent","","Microsense Ltd","microwave security","2012","slow fale alarm microwave fence on market",,"http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=spinout&outcomeId=545a6ebf809572.42987929&grantRef=EP%2FE01707X%2F1","http://gtr.rcuk.ac.uk:80/projects?ref=EP/E01707X/1","BB9862A6-2712-471D-82EE-0251A48899CF","798CB33D-C79E-4578-83F2-72606407192C","EC23DA53-CA73-4104-A3F6-2A9523484E69","93C58F4A-852D-4932-8ED6-25B87D43C4EE"
"EPSRC","EP/N508664/1","Research Grant","Spin Outs","Queen's University of Belfast","Electronics Electrical Eng and Comp Sci","McCanny","John","","TITAN IC SYSTEMS LIMITED","Titan IC Systems is a world leader in the development of hardware engines for content and network processing. The solutions offered include Regular Expression Processor (RXP) and Parallel String Matcher (PSM) for use in all aspects of network security including: Intrusion Detection/Prevention, application detection, anti-virus, and content/URL filtering. 
Titan IC Systems has a large portfolio of network and network security related intellectual property, based on research conducted over the past five years at ECIT. This research has been focused on the underlying processing architectures and silicon technologies, essential for supporting secure, high quality streaming services. Titan IC Systems innovation lies in the ability to perform fast and parallel pattern matching and regular expression processing at speeds of up to 40Gb/s.","2007","Titan IC Systems is delivering new benchmarks in both flexibility and performance for content inspection and network processing hardware. The unique technology capability offers customers the ability to perform regular expression processing and pattern matching acceleration at speeds of a few 100Mb/s up to 40Gb/s utilising a fully scalable, flexible and parallel architecture. This revolutionary new technology is capable of processing multiple characters and multiple regular expressions in parallel as concurrent tasks on several processing engines. Selected as one of the UK's 12 most exciting technology start-ups and invted to pitch their business at Number 10 Downing Street. Atracted &pound;850k of funding via venture capital investments in 2015.","http://www.titanicsystems.com/","http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=spinout&outcomeId=56dee308eb1f62.81642970&grantRef=EP%2FN508664%2F1","http://gtr.rcuk.ac.uk:80/projects?ref=EP/N508664/1","E3D9699E-BC50-48C8-A31B-003871DD668A","798CB33D-C79E-4578-83F2-72606407192C","EC23DA53-CA73-4104-A3F6-2A9523484E69","F05D1A0D-8915-416E-A0EC-E52C826BE888"
"BBSRC","BB/I020209/1","Research Grant","Spin Outs","Newcastle University","Institute of Human Genetics","Armstrong","Lyle","","Newcells Biotech Ltd","Newcells Biotech Ltd is a spin-out company from the Armstrong /Lako pluripotent stem cell research laboratories situated in the Institute of Genomic medicine, Newcastle University, Newcastle upon Tyne, UK. Its concept is to establish and commercialise model systems for efficacy and toxicity testing in drug discovery programmes within the pharmaceutical industry. Newcells Biotech offers a bespoke service for the generation of somatic cells derived from Induced Pluripotent Stem Cells created from tissue samples collected under informed consent from patients with a range of monogenetic and complex diseases. Prof. Lyle Armstrong, CSO has extensive experience in the generation, culture and differentiation of pluripotent stem cells. He is a founding member of Newcells Biotech Ltd where he is responsible for scientific oversight of research and development operations and strategic direction of the company.","2015","the company is in the process of establishing business with several major pharmaceutical companies","http://www.newcellsbiotech.co.uk/","http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=spinout&outcomeId=56c37f06e83721.80838924&grantRef=BB%2FI020209%2F1","http://gtr.rcuk.ac.uk:80/projects?ref=BB/I020209/1","F42FD8F2-B879-4683-84EF-036D15F1EB5F","2512EF1C-401B-4222-9869-A770D4C5FAC7","5E2B04DD-4A03-45ED-9892-61C5CCB8AC68","E041E319-E561-4A17-916C-DCF2EC196DD9"
"EPSRC","EP/H004602/1","Research Grant","Spin Outs","University of Sheffield","Electronic and Electrical Engineering","Wang","Tao","","Seren Photonics Ltd","Seren Photonics Ltd uses nano-engineered structures to enhance the properties of III-Nitride materials. Our core focus is on the development and manufacture of semi-polar and non-polar Gallium Nitride templates designed to enhance the performance of GaN LEDs, lasers, VCSELs and power switches.

Semi-polar and non-polar materials offer significant benfits over conventional polar (c-plane) GaN. However, to date, semi-polar and non-polar GaN have only been available in small pieces cut from GaN","2009","2014, ?1.9m funding was raised 2012, ?1.8m fundingw as raised 2014, Seren started to ship their products to customers including the research teams of one of 2014 Nobel Prize winners 2013, Seren Photonics have been awarded an Innovation Vouchers; grant from the Welsh Government to further equip its pilot facility in the UK.","http://www.serenphotonics.co.uk/","http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=spinout&outcomeId=545e7f543ea338.42841937&grantRef=EP%2FH004602%2F1","http://gtr.rcuk.ac.uk:80/projects?ref=EP/H004602/1","69B41DCE-255A-4321-AF4B-15BAE88F6DBA","798CB33D-C79E-4578-83F2-72606407192C","03D8AFBB-3EA5-4885-B036-BD4F9F4F9849","EB1631B2-12F0-451C-AA9C-7D7657CF31FC"
"EPSRC","EP/D032148/1","Research Grant","Spin Outs","University of Bristol","Computer Science","Chalmers","Alan","","goHDR Ltd","To provide compression/decompression solutions for HDR video","2009","Provides a world first complete HDR capture to display pipeline. Now offering Beta products for sale.","http://www.gohdr.com","http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=spinout&outcomeId=m-1262269254.0867913308216&grantRef=EP%2FD032148%2F1","http://gtr.rcuk.ac.uk:80/projects?ref=EP/D032148/1","FE0A25B4-A898-42A7-A022-0E33E99E046D","798CB33D-C79E-4578-83F2-72606407192C","4A348A76-B2D0-4DDD-804A-CE735A6D3798","4E8EB4C1-E188-4F55-BAD5-C8CC9793F508"
