"Funding OrgName","Project Reference","ProjectCategory","Outcome Type","LeadRO Name","Department","PI Surname","PI First Name","PI Orcid iD","Outcome Title","Type","Current Stage of Development","Clinical Trial?","UKCRN/ISCTN ID","Year Development Stage Completed","Development Status","Description","Impact","Url","GTR Outcome URL","GTRProjectUrl","ProjectId","FundingOrgId","LeadROId","PIId"
"MRC","MC_U147585821","Intramural","Products Interventions & Clinical Trials","MRC Lifecourse Epidemiology Unit",,"Fall","Caroline","","Food based micronutrient supplements","Preventative Intervention - Nutrition and Chemoprevention","Early clinical assessment","Yes","ISRCTN62811278","2006","Under active development/distribution","Development of a micronutrient-rich food supplement for poorly nourished pre-pregnant and pregnant women living in urban slums in India. Made from vegetables, fruit and milk.","Intervention associated with increased birth weight and reduction in gestational diabetes. 25332324.","http://www.controlled-trials.com/ISRCTN62811278","http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=productintervention&outcomeId=eTFCbF79vE5&grantRef=MC_U147585821","http://gtr.rcuk.ac.uk:80/projects?ref=MC_U147585821","684DEE71-5C90-4847-A507-00F72AB0FE96","C008C651-F5B0-4859-A334-5F574AB6B57C","5480E523-2DDE-401D-AD42-36E43161A724","896926B8-2492-429B-9C62-00AA7B3C66A5"
"MRC","G0601073","Research Grant","Products Interventions & Clinical Trials","University of Birmingham","Clinical and Experimental Medicine","Overduin","Michael","","styrene maleic acid lipid particle (SMALP) system","Support Tool - For Fundamental Research","Initial development","",,"2010","Actively seeking support","Membrane proteins are commercially the most valuable class of drug target as more than half of all marketed drugs target them. However, they are seriously underexploited due to the difficulties in studying them. We have developed the SMALP system to solubilise and stabilise membrane proteins including the most valuable drug targets in minutes and without any detergents. The SMALP system is a simple generic and inexpensive reagent that can be used for the preparation of pharmaceutical drug targets that yields significant improvements to their purification, stability and longevity over all conventional systems. The system is compatible with standard biophysical techniques and drug screening strategies.","We have established collaboration agreements with 10 pharma and chemical companies to exploit the SMALP technology for any protein from any cell type, and plan to initiate commercialisation of the SMALP system in the next year.",,"http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=productintervention&outcomeId=o1WMqD8VA6U&grantRef=G0601073","http://gtr.rcuk.ac.uk:80/projects?ref=G0601073","9E3E4F36-8214-4056-9AE1-0F1F576BA98E","C008C651-F5B0-4859-A334-5F574AB6B57C","818CD6C9-61EE-41F2-9F37-0C7A8F43E25D","61A2F0D4-6725-432B-9EED-B0E88FAFE954"
"MRC","MR/L012723/1","Research Grant","Products Interventions & Clinical Trials","University of Bristol","Clinical Science at South Bristol","Ascione","Raimondo","","Cardioprotective drug MitoSNO","Therapeutic Intervention - Drug","Refinement.  Non-clinical","",,"2016","Under active development/distribution","This is a new cardio-protective drug to be tested in an acute MI model in pig at the new TBRC facility in Bristol. This is part of a collaborative work with the University of Cambridge (lead Dr Mike Murphy), University of Otago (NZ) and University of Bristol with myself leading the translation of the new drug via an experimental trial in pig to test its safety and efficacy prior to a first in man trial.

This work was funded by BMC: DPFS: MR/M015769/1 in 2014 as follows:
2015-18: Selective S-nitrosation of mitochondrial complex I by MitoSNO as a new therapy for cardiac ischaemia-reperfusion injury. PI M Murphy (Cambridge); co-PI R Ascione (Lead in-vivo study at TBRC), T Krieg, A Mander (Cambridge), R Smith (Otago -NZ); MRC: &pound;792,560

Currently, the new drug is undergoing refinements with extra test in vitro and in mice in Cambridge. The large animal milestone is due to start in Bristol during summer 2016.","This work has led to the formation of an effective multidisciplinary team in this clinical field. This has triggered the same team submitting a further large grant application to the Sir Jules Thorne scheme in 2015. This application is based on the testing the safety and efficacy of a new cardio-protective drug based on the use of malonate esters for myocardial protection during cardiac surgery. This application has been recently accepted as an outline and we have been asked to submit full application with by April 2016.","http://www.manufacturingchemist.com/news/article_page/UK_Government_commits_over_30m_to_cutting_edge_medical_advances/103774","http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=productintervention&outcomeId=56ddab6e679592.84318839&grantRef=MR%2FL012723%2F1","http://gtr.rcuk.ac.uk:80/projects?ref=MR/L012723/1","AA1FCA3B-7BEC-45EB-BE72-10010539CBAD","C008C651-F5B0-4859-A334-5F574AB6B57C","4A348A76-B2D0-4DDD-804A-CE735A6D3798","476F37FE-E395-416B-8786-5C388F5B1112"
"EPSRC","EP/K002201/1","Research Grant","Products Interventions & Clinical Trials","University of Liverpool","Chemistry","Rannard","Steven","","Human trial of candidate nanomedicine for HIV using Efavirenz","Therapeutic Intervention - Drug","Early clinical assessment","Yes",,"2016","Actively seeking support","Human study of pharmacokinetics of orally dosed nanoparticles of efavirenz aiming at dose and pill burden reduction. Engagement with international charities (Clinton Health Access Initiative; Medicines Patent Pool, MSF) and further funding from NIH (collaboration with Johns Hopkins Medical School) and USAID (Multinational collaboration) to establish potential in other HIV related areas and malarial opportunities.","Awaiting outcomes",,"http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=productintervention&outcomeId=56b32ddd60a048.60414268&grantRef=EP%2FK002201%2F1","http://gtr.rcuk.ac.uk:80/projects?ref=EP/K002201/1","EF50F583-BD95-465E-B283-11BA2F560911","798CB33D-C79E-4578-83F2-72606407192C","A0A585E0-6B0D-4643-A3A6-47943B4CBFEF","DD82B8F7-2993-462C-B5B3-2A50A0CCA662"
"MRC","G0800570","Research Grant","Products Interventions & Clinical Trials","Imperial College London","National Heart and Lung Institute","Wedzicha","Jadwiga","","Evaluation of domiciliary pulse oximetry","Diagnostic Tool - Non-Imaging","Early clinical assessment","",,"2010","Actively seeking support","Funding awarded to Dr John Hurst (applicant on MRC grant) for development of oximetry","Published in peer review journal and presented at internatioal conference",,"http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=productintervention&outcomeId=RVKFBzfDF17&grantRef=G0800570","http://gtr.rcuk.ac.uk:80/projects?ref=G0800570","3DDFCE94-17B5-4C9C-A074-13F8BC5A2DF0","C008C651-F5B0-4859-A334-5F574AB6B57C","46387D84-F71E-4B7D-8C7D-9C288F113510","FE0D06D3-8E96-4D18-B531-03C370F0D6CB"
"MRC","G0802027","Research Grant","Products Interventions & Clinical Trials","University College London","Infection and Population Health","Wardle","Jane","","10TT","Therapeutic Intervention - Psychological/Behavioural","Late clinical evaluation","Yes","ISRCTN16347068","2012","Under active development/distribution","Ten Top Tips (10TT) is a self-guided leaflet for weight management focusing on making simple diet and exercise behaviours habitual. It represents the first behaviour change intervention of which we are aware that has been explicitly based on habit-formation theory. The component behaviours in the 10TT leaflet reflect the consensus among researchers, clinicians and policy makers on healthy diet and lifestyle and were developed with input from these groups. This intervention was effective with respect to weight loss in a volunteer population, but has yet to be tested in primary care. The aim of the current trial is therefore to test the effectiveness of the 10TT intervention in primary care, incorporating clinical outcomes and health economic analyses.","If proven to be effective when delivered through primary care, 10TT could make a highly cost-effective contribution to improvements in population health, with the potential to be delivered to all patients seeking weight management advice.","http://www.cancerresearchuk.org/cancer-info/healthyliving/obesityandweight/tentoptips/","http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=productintervention&outcomeId=ePr79qVzPc6&grantRef=G0802027","http://gtr.rcuk.ac.uk:80/projects?ref=G0802027","F67D77AB-2693-4E65-AD76-172B20C0055D","C008C651-F5B0-4859-A334-5F574AB6B57C","3A5E126D-C175-4730-9B7B-E6D8CF447F83","E7A52838-1BB4-4E43-8649-B1055D6A4739"
"MRC","MR/J005207/1","Research Grant","Products Interventions & Clinical Trials","University of the West of England","Faculty of Health and Life Sciences","Anderson","Elizabeth","","NAAT 2012 reported_Diagonstic test","Diagnostic Tool - Non-Imaging","Initial development","",,"2012","Under active development/distribution","The rapid assay system for predicting response to AML chemotherapy is currently being validated","The assay system can be used to assess novel chemotherapy",,"http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=productintervention&outcomeId=5277ce6ac20a3&grantRef=MR%2FJ005207%2F1","http://gtr.rcuk.ac.uk:80/projects?ref=MR/J005207/1","028A3CC5-A935-4D8D-A262-1F634A5F11F7","C008C651-F5B0-4859-A334-5F574AB6B57C","2A80FFDA-3B8B-43BA-80C3-3AA850B49BA1","925F7AEB-0B08-4DBD-A35E-53508DE4BF57"
"MRC","G0900883","Research Grant","Products Interventions & Clinical Trials","University of Oxford","RDM Cardiovascular Medicine","Robson","Matthew","","shMOLLI T1 mapping","Diagnostic Tool - Imaging","Small-scale adoption","",,"2010","Under active development/distribution","The shMOLLI method was developed in our group to assess the need for a T1 mapping method for the myocardium that was implemented in a way that was practical for clinical studies.
We built a new method, patented this approach, and it is now being used in a series of high profile trials. Further a license was purchased by Siemens Healthcare (the largest MRI company in the world) and is being put into their commercial product. Anticipated delivery time for this product into the market is end 2014.","Through the development of these methods the entire fieldof cardiac T1 mapping has moved forward a considerable distance. T1 mapping of the mycardium is likely to become part of the routine clinical workup of patients.","http://www.siemens.com","http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=productintervention&outcomeId=ZG7axN55unn&grantRef=G0900883","http://gtr.rcuk.ac.uk:80/projects?ref=G0900883","1BE3AD85-36AD-494A-8203-1CD0523586CE","C008C651-F5B0-4859-A334-5F574AB6B57C","3EAE04CA-9D62-4483-B9C4-F91AD9F4C5A9","25BDB559-6247-41CA-AFB9-B58AACD944E0"
"MRC","MC_PC_13037","Research Grant","Products Interventions & Clinical Trials","University College London",,"Selwood","David","","VSN16R","Therapeutic Intervention - Drug","Early clinical assessment","Yes",,"2016","Under active development/distribution","New investigational drug for MS related spasticity. Phase II study.","Trial still ongoing. Readout expected in 2016.","https://clinicaltrials.gov/ct2/show/NCT02542787?term=VSN16R&rank=1","http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=productintervention&outcomeId=56e01fc1485801.65518709&grantRef=MC_PC_13037","http://gtr.rcuk.ac.uk:80/projects?ref=MC_PC_13037","258A5986-E4FD-43DF-BD75-F6E474B6D0AB","C008C651-F5B0-4859-A334-5F574AB6B57C","3A5E126D-C175-4730-9B7B-E6D8CF447F83","DE66D8E4-79EE-4AD4-AA2F-F81B7E69ECD1"
"EPSRC","EP/G007578/1","Fellowship","Products Interventions & Clinical Trials","University of Birmingham","School of Chemistry","Tucker","James","","Ferrocene-containing drug compounds","Therapeutic Intervention - Drug","Initial development","",,"2016","Under active development/distribution","The ferrocene compounds show anti-cancer activity and further studies are being undertaken into 2016 on the back of an EPSRC follow-on fund grant that started in 2015.","n/a",,"http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=productintervention&outcomeId=56df17596a3b19.80066071&grantRef=EP%2FG007578%2F1","http://gtr.rcuk.ac.uk:80/projects?ref=EP/G007578/1","D764DC52-1EF8-45CF-9D99-F27E1D3AF830","798CB33D-C79E-4578-83F2-72606407192C","818CD6C9-61EE-41F2-9F37-0C7A8F43E25D","1B609C2C-FF9E-47E1-9885-AB4A2923895F"
