"Funding OrgName","Project Reference","ProjectCategory","Outcome Type","LeadRO Name","Department","PI Surname","PI First Name","PI Orcid iD","Outcome Title","Description","Protection","IP Reference","Year Protection Granted","Licensed?","Impact","Url","GTR Outcome URL","GTRProjectUrl","ProjectId","FundingOrgId","LeadROId","PIId"
"EPSRC","EP/D070880/1","Fellowship","Intellectual Property","University of Birmingham","School of Computer Science","Ghica","Dan","","SYNTHESIS OF ELECTRONIC CIRCUITS","The invention relates to a method of synthesising an electronic circuit for performing a function. The method comprises programming the function using a programming language by defining one or more terms, each term comprising one or more functional constants. Game semantics are applied to interpret the programmed function. Each term is interpreted as one or more strategies defined on moves. Each of the constants of the programmed function is associated with a sub-circuit. Each move is associated with at least one input or output port of the associated sub-circuit, and a move occurrence defined by a strategy produces a change of state of an associated port. The associated sub-circuits are combined to provide a synthesised circuit for performing the function.","Patent granted","US8146029","2012","No","None",,"http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=intellectualproperty&outcomeId=5462799808b3a9.87001094&grantRef=EP%2FD070880%2F1","http://gtr.rcuk.ac.uk:80/projects?ref=EP/D070880/1","1478668F-61D8-4F60-8BEE-03AADE35C8A1","798CB33D-C79E-4578-83F2-72606407192C","818CD6C9-61EE-41F2-9F37-0C7A8F43E25D","E3467D80-13A7-4C31-B14D-CC4C3B12086F"
"BBSRC","BB/G016240/1","Research Grant","Intellectual Property","University of Cambridge","Biochemistry","Dupree","Paul","","Patent application: CAPILLARY ELECTROPHORESIS OF CARBOHYDRATES","The invention of mobility markers to facilitate analysis of carbohdrates on capillary electrophoresis equipment.","Patent application published","PCT/GB2011/001110","","No","use in industry",,"http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=intellectualproperty&outcomeId=m-8269726595.16122776688f7c&grantRef=BB%2FG016240%2F1","http://gtr.rcuk.ac.uk:80/projects?ref=BB/G016240/1","536158A1-A5FA-40BC-BF47-02FD37445778","2512EF1C-401B-4222-9869-A770D4C5FAC7","D1774113-D5D2-4B7C-A412-66A90FE4B96F","5C4309C9-8BC6-4A6F-8DD3-471737D1B873"
"BBSRC","BB/M01925X/1","Research Grant","Intellectual Property","London Sch of Hygiene and Trop Medicine","Infectious and Tropical Diseases","Cuccui","Jon","","Whole Cell Vaccines","The disclosure relates to attenuated bacterial cells expressing glycan and glycoconjugate antigens and their use in the manufacture of whole cell vaccines or immunogenic compositions effective at eliciting an immune response in non-human animal species and preventing or treating bacterial infections.","Patent application published","GB1603958.8","2016","No","This is a patent demonstrating how licensed live attenuated vaccines can be modified to carry either glycoengineering tools to make and deliver subunit vaccines or for surface expression of foreign antigens. This application should have significant implications in the development of novel vaccine combinations for both veterinary and human vaccinology.",,"http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=intellectualproperty&outcomeId=56e01abdf3a402.76660147&grantRef=BB%2FM01925X%2F1","http://gtr.rcuk.ac.uk:80/projects?ref=BB/M01925X/1","3171639E-3E4C-4436-A5C5-00ACD5C10F9C","2512EF1C-401B-4222-9869-A770D4C5FAC7","055EA8B7-2C66-4FF5-96DD-63FA3AA7D0B7","C32D3A82-DEF1-4FBF-BC34-2AEE5484126E"
"MRC","G9704528","Research Grant","Intellectual Property","University of Cambridge","Cambridge Institute for Medical Research","Gherardi","Ermanno","","Protein variants","Variants of the NK1 fragment of HGF/SF that exhibit strong agonistic activity.","Patent granted","US7179786","2007","Yes","Strong pre-clinical data obtained in mouse models of liver and sking regeneration.",,"http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=intellectualproperty&outcomeId=DVnsLM4YSTN&grantRef=G9704528","http://gtr.rcuk.ac.uk:80/projects?ref=G9704528","6BF91CEB-8A7C-4DFE-8039-02F77AEAE3F4","C008C651-F5B0-4859-A334-5F574AB6B57C","D1774113-D5D2-4B7C-A412-66A90FE4B96F","2BE9A55F-1542-427E-877B-EF4684BF041C"
"EPSRC","EP/D049202/1","Research Grant","Intellectual Property","Sheffield Hallam University","Faculty of Arts Computing Eng and Sci","Ehiasarian","Arutiun","","RF-plasma glow discharge sputtering","A novel physical vapour deposition source for ionised deposition of magnetic and non-magnetic metals and ceramics.","Patent granted","GB2469666","2012","No","The initiation of a new plasma source for the deposition of magnetic materials. Enabling innovation in other fields such as the manufacturing of photovoltaics.",,"http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=intellectualproperty&outcomeId=5464c440ba6f15.98839874&grantRef=EP%2FD049202%2F1","http://gtr.rcuk.ac.uk:80/projects?ref=EP/D049202/1","83F3EBA9-A200-4E49-B0B8-0272F9E1DCDB","798CB33D-C79E-4578-83F2-72606407192C","52FDE897-E62F-4388-A588-9382D1E7C2D3","25BFE263-406B-4FAE-A722-3039DD400278"
"EPSRC","EP/D049202/1","Research Grant","Intellectual Property","Sheffield Hallam University","Faculty of Arts Computing Eng and Sci","Ehiasarian","Arutiun","","Multiple Licence Agreements","The project has helped to sell three new licenses of previous patent. One license exploitation agreement signed. Cooperation Agreement with Doshisha University, Japan Cooperation Agreement with Fraunhofer Institute IST-Braunschweig, Germany.","Patent granted","EP1260603B1","","Yes","It has influenced the way system manufacturers design high power impulse magnetron sputtering machines. It has helped to produce industrial scale commercial grade production-capable systems and achieve sales in the 10s of units / year.",,"http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=intellectualproperty&outcomeId=r-2896986708.88038973d670f02&grantRef=EP%2FD049202%2F1","http://gtr.rcuk.ac.uk:80/projects?ref=EP/D049202/1","83F3EBA9-A200-4E49-B0B8-0272F9E1DCDB","798CB33D-C79E-4578-83F2-72606407192C","52FDE897-E62F-4388-A588-9382D1E7C2D3","25BFE263-406B-4FAE-A722-3039DD400278"
"EPSRC","EP/D049202/1","Research Grant","Intellectual Property","Sheffield Hallam University","Faculty of Arts Computing Eng and Sci","Ehiasarian","Arutiun","","Vacuum treatment apparatus with additional voltage supply","A new design for power supply to bias the substrates in a high power impulse magnetron sputtering discharge.","Patent granted","GB2437080","2012","Yes","Influenced design of power generators for biasing substrates in a high power impulse magnetron sputtering environment. Enabled business protection for two companies and sales of several units. Enabled commercial exploitation of HIPIMS in the field of hard and functional coatings.",,"http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=intellectualproperty&outcomeId=5464c3a78db854.31261398&grantRef=EP%2FD049202%2F1","http://gtr.rcuk.ac.uk:80/projects?ref=EP/D049202/1","83F3EBA9-A200-4E49-B0B8-0272F9E1DCDB","798CB33D-C79E-4578-83F2-72606407192C","52FDE897-E62F-4388-A588-9382D1E7C2D3","25BFE263-406B-4FAE-A722-3039DD400278"
"EPSRC","EP/E032745/2","Research Grant","Intellectual Property","Aston University","Sch of Life and Health Sciences","Pitt","Andrew","","Assay assembly and method","The present invention relates to assay assemblies, components of assay assemblies, methods of determining one or more properties of a sample liquid, and methods of making components of assay assemblies. The present invention allows the properties of very small volumes of sample liquid to be probed, by providing a first surface having at least one sample liquid wettable surface region defined by a sample liquid repelling boundary, and a second surface, opposed to the first surface, having analyte binding agent immobilised thereon.","Patent application published"," WO2012/07298","2013","No","Assay development has led to potential spin out.",,"http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=intellectualproperty&outcomeId=54639fd23fd941.59887750&grantRef=EP%2FE032745%2F2","http://gtr.rcuk.ac.uk:80/projects?ref=EP/E032745/2","B7F0E1A8-7C61-4A69-A853-000E0DDF0746","798CB33D-C79E-4578-83F2-72606407192C","5BFB9036-9D16-4AB9-A9EF-097BB6FBD69A","050B7749-5712-4F0B-AA25-F56D84082A9D"
"MRC","G0802556","Research Grant","Intellectual Property","University of York","Biology","Sturmey","Roger","","A method of assessing the viability of a cell","A method of assessing the viability of a cell wherein said cell is a gamete, an embryo, a karyoplast, a putative stem cell population, a stem cell precursor population or a stem cell population, said method comprising incubating the cell in a culture medium including a plurality of amino acids and determining the change in concentration in the medium of at least one amino acid.","Patent application published","US2010223681","2010","No","Unknown as yet. Discussions are at an early stage with a UK Venture Capital company concerning these data.",,"http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=intellectualproperty&outcomeId=E3oWBaNWecm&grantRef=G0802556","http://gtr.rcuk.ac.uk:80/projects?ref=G0802556","9B0B75EC-2AE8-4543-B567-02EC0D9A4AF8","C008C651-F5B0-4859-A334-5F574AB6B57C","8319F78A-DCBD-49F6-BE00-78E1CD75CDA9","43ABBACA-31B2-4B9A-B195-8804ED853679"
"MRC","G0801164","Research Grant","Intellectual Property","University of Leicester","Infection Immunity and Inflammation","Bradding","Peter","","Regulation of HLMC function by CADM1","Aquired new knowledge with respect to the role of CADM1 isoforms in human mast cell biology - CADM1 mediates human lung mast cell (HLMC) homotypic adhesion, promotes HLMC survival, regulates expression of KIT, and mediates adhesion of HLMC to fibroblasts and airway smooth muscle","Protection not required",,"","No","As above. Manuscript submitted for publication",,"http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=intellectualproperty&outcomeId=EwnbjjiNfrg&grantRef=G0801164","http://gtr.rcuk.ac.uk:80/projects?ref=G0801164","8B866B13-7B80-47C1-BAF0-006D36EBA6C8","C008C651-F5B0-4859-A334-5F574AB6B57C","C842A34F-18F7-454D-A259-FED802368496","D6401838-BE8F-43B6-B46C-997DD23C1404"
