"Funding OrgName","Project Reference","ProjectCategory","Outcome Type","LeadRO Name","Department","PI Surname","PI First Name","PI Orcid iD","Outcome Title","Description","Type of Technology","Software Open Sourced?","Year Produced","Impact","Url","GTR Outcome URL","GTRProjectUrl","ProjectId","FundingOrgId","LeadROId","PIId"
"BBSRC","BB/G016240/1","Research Grant","Software and Technical Products","University of Cambridge","Biochemistry","Dupree","Paul","","DASHboard","software to facilitate analysis of capillary electrophoresis results (DASH)","Software","Yes","2012","used in industry",,"http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=softwareandtechnicalproduct&outcomeId=5461e528bfb6b9.42875671&grantRef=BB%2FG016240%2F1","http://gtr.rcuk.ac.uk:80/projects?ref=BB/G016240/1","536158A1-A5FA-40BC-BF47-02FD37445778","2512EF1C-401B-4222-9869-A770D4C5FAC7","D1774113-D5D2-4B7C-A412-66A90FE4B96F","5C4309C9-8BC6-4A6F-8DD3-471737D1B873"
"BBSRC","BB/J01558X/1","Research Grant","Software and Technical Products","University of Nottingham","Sch of Biosciences","Stekel","Dov","","Biolog software - first round","First release of Biolog software - mainly developed prior to award of grant but has involvement of Mike Stout from the Biolog grant. This will be superseded by next version.","Software","Yes","2015","None yet","https://github.com/dovstekellab/mcmc-pma","http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=softwareandtechnicalproduct&outcomeId=56d9926b18b828.79837664&grantRef=BB%2FJ01558X%2F1","http://gtr.rcuk.ac.uk:80/projects?ref=BB/J01558X/1","4A344AFE-9756-4B10-9A5E-0292F1F84EA9","2512EF1C-401B-4222-9869-A770D4C5FAC7","936D002F-A8D1-4A93-AE5D-825ED0903D8D","4C65CC65-679E-4CC6-BA5D-32B3C2C8F2A2"
"EPSRC","EP/K027379/1","Fellowship","Software and Technical Products","Imperial College London","Dept of Aeronautics","Vincent","Peter","","PyFR v0.2.2","PyFR is an open-source Python based framework for solving advection-diffusion type problems on streaming architectures using the Flux Reconstruction approach of Huynh. The framework is designed to solve a range of governing systems on mixed unstructured grids containing various element types. It is also designed to target a range of hardware platforms via use of an in-built domain specific language derived from the Mako templating engine.","Software","Yes","2014","-","http://www.pyfr.org","http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=softwareandtechnicalproduct&outcomeId=546254a9d9f6b1.66970099&grantRef=EP%2FK027379%2F1","http://gtr.rcuk.ac.uk:80/projects?ref=EP/K027379/1","316C8B1E-CB13-4450-9EFB-01FAC334CBF5","798CB33D-C79E-4578-83F2-72606407192C","46387D84-F71E-4B7D-8C7D-9C288F113510","218D3F38-3BED-44CA-9889-B933CAB39802"
"BBSRC","BB/F018371/1","Research Grant","Software and Technical Products","University of Sussex","Sch of Life Sciences","Staras","Kevin","","Software for dynamic clamp electrophysiology","SOFTWARE: Development of new electrophysiological software (Dynamic Clamp, StdpC) for improved control of neuronal recordings (Nature Protocols 6: 405-417, 2011). The software is fully open access and allows the user to impose complex stimulation profiles onto target neurons. It is relevant to general methods in the grant used to carry out whole-cell recordings of neurons.","Software","Yes","2011","Researchers using it for their own research.","http://sourceforge.net/projects/stdpc/","http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=softwareandtechnicalproduct&outcomeId=545a4c5a54ae71.16632610&grantRef=BB%2FF018371%2F1","http://gtr.rcuk.ac.uk:80/projects?ref=BB/F018371/1","212D2951-7FA4-425C-B37E-01B9838B85A5","2512EF1C-401B-4222-9869-A770D4C5FAC7","A8967420-49D3-4509-9912-25FB3EC75B74","9FCB6054-D81D-4A69-BC9F-C729DE3D7D59"
"MRC","G0901135","Research Grant","Software and Technical Products","University of Glasgow","Faculty of Biomedical and Life Sciences","Haydon","Daniel","","Wise Monkey Portal for monitoring rabies surveillance and control","The Wise Monkey Portal hosts web applications in a controlled environment and offered in a 'Software As A Service' model. The software services, and associated data, are centrally hosted in the cloud.","Webtool/Application","","2010","Improved data management for rabies related research projects in Tanzania and the Philippines","http://www.wisemonkeyfoundation.org/","http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=softwareandtechnicalproduct&outcomeId=54622784a9bf17.15584357&grantRef=G0901135","http://gtr.rcuk.ac.uk:80/projects?ref=G0901135","74D2717B-FFCF-4076-8091-042286D84040","C008C651-F5B0-4859-A334-5F574AB6B57C","AE58F21F-3622-4382-97BB-1359BD183E9F","84244E8E-417D-4273-9C72-5E13832D5D17"
"EPSRC","EP/I013067/1","Research Grant","Software and Technical Products","STFC - Laboratories","Scientific Computing Department","Scott","Jennifer","http://orcid.org/0000-0003-2130-1091","HSL_MI20 v2","Unsymmetric system: algebraic multigrid preconditioner

Extended to add additional functionality in 2015","Software","","2015","This field left blank","http://www.hsl.rl.ac.uk/catalogue/hsl_mi20.html","http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=softwareandtechnicalproduct&outcomeId=56c4a51f2213e3.00343685&grantRef=EP%2FI013067%2F1","http://gtr.rcuk.ac.uk:80/projects?ref=EP/I013067/1","A9959E5C-FACD-4890-B30B-00F5C355D02D","798CB33D-C79E-4578-83F2-72606407192C","A715CB4E-6888-4FE7-92F3-7C01A22A4C29","8FF5D247-4FBE-4AE3-AA8D-AA075EA128D2"
"EPSRC","EP/I013067/1","Research Grant","Software and Technical Products","STFC - Laboratories","Scientific Computing Department","Scott","Jennifer","http://orcid.org/0000-0003-2130-1091","HSL_MI29","MPGMRES: an extension of GMRES which allows multiple preconditioners","Software","","2013","Downloaded by 28 users (as of Feb 2016)","http://www.hsl.rl.ac.uk/catalogue/hsl_mi29.xml","http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=softwareandtechnicalproduct&outcomeId=56c4a3927f9f45.14661187&grantRef=EP%2FI013067%2F1","http://gtr.rcuk.ac.uk:80/projects?ref=EP/I013067/1","A9959E5C-FACD-4890-B30B-00F5C355D02D","798CB33D-C79E-4578-83F2-72606407192C","A715CB4E-6888-4FE7-92F3-7C01A22A4C29","8FF5D247-4FBE-4AE3-AA8D-AA075EA128D2"
"EPSRC","EP/I013067/1","Research Grant","Software and Technical Products","STFC - Laboratories","Scientific Computing Department","Scott","Jennifer","http://orcid.org/0000-0003-2130-1091","HSL_MC80","Matching-based ordering and scaling for sparse symmetric matrices","Software","","2012","Incorporated into all our linear solvers since - best solution to numerically difficult problems.

Downloaded by 29 users as HSL_MC80.
Downloaded by &gt;2500 users as part of other packages.","http://www.hsl.rl.ac.uk/catalogue/hsl_mc80.html","http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=softwareandtechnicalproduct&outcomeId=56c4a1828a14a9.95631032&grantRef=EP%2FI013067%2F1","http://gtr.rcuk.ac.uk:80/projects?ref=EP/I013067/1","A9959E5C-FACD-4890-B30B-00F5C355D02D","798CB33D-C79E-4578-83F2-72606407192C","A715CB4E-6888-4FE7-92F3-7C01A22A4C29","8FF5D247-4FBE-4AE3-AA8D-AA075EA128D2"
"EPSRC","EP/I013067/1","Research Grant","Software and Technical Products","STFC - Laboratories","Scientific Computing Department","Scott","Jennifer","http://orcid.org/0000-0003-2130-1091","HSL_MI35","Sparse least squares: incomplete factorization preconditioner","Software","","2015","Downloaded by 4 users (as of Feb 2016)","http://www.hsl.rl.ac.uk/catalogue/hsl_mi35.html","http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=softwareandtechnicalproduct&outcomeId=56c4a47df00978.92791224&grantRef=EP%2FI013067%2F1","http://gtr.rcuk.ac.uk:80/projects?ref=EP/I013067/1","A9959E5C-FACD-4890-B30B-00F5C355D02D","798CB33D-C79E-4578-83F2-72606407192C","A715CB4E-6888-4FE7-92F3-7C01A22A4C29","8FF5D247-4FBE-4AE3-AA8D-AA075EA128D2"
"BBSRC","BB/I023798/1","Research Grant","Software and Technical Products","University of East Anglia","Sainsbury Laboratory","MacLean","Dan","","Bubbleparse","Tool for finding SNPs from short read data without a reference genome","Software","Yes","2013","Identified candidate SNPs for resistance to blight in wild potato","https://github.com/danmaclean/bubbleparse","http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=softwareandtechnicalproduct&outcomeId=541aaa31300d47.90373657&grantRef=BB%2FI023798%2F1","http://gtr.rcuk.ac.uk:80/projects?ref=BB/I023798/1","8C55C930-77E6-4548-AAA4-01BD4D4E1693","2512EF1C-401B-4222-9869-A770D4C5FAC7","88C5F7F9-8DCC-41C9-BC4F-F37DA01075C7","459B7E5E-95AC-4BAE-AE2A-08484F11E038"
